篇名,作者,页数,关键词,摘要,filename
湖北省图书馆“十二五”发展规划,,7, ,"<正>""十二五""时期(2011年至2015年)是我国全面建设小康社会,实现科学发展的关键时期,也是推动湖北文化大发展大繁荣,进一步完善全省公共文化服务体系的重要阶段。深刻认识并正确把握党中央关于""大力发展公益性文化事业""要求的战略机遇, ",TSLT201201003
武汉大学图书馆,,1, ,"<正>武汉大学图书馆设有文科分馆、理科分馆、工学分馆,信息科学分馆和医学分馆五个分馆,另外还设有二十八个学院图书资料室,共同组成了武汉大学的文献服务网络。武汉大学图书馆现有馆舍面积为68754平米,资料室面积为16601 ",TSLT201201001
为农民工子女举办免费电脑培训,,1, ,"<正>为了丰富农民工子女的寒假生活,湖北省图书馆少儿书刊部联合相关部门于2012年1月18-20日,以""快乐的节日""为主题,以ppt趣味动画制作方式,为农民工子女举办了三期免费电脑培训活动。 ",TSLT201201008
共享工程湖北省分中心召开地方特色资源数据库暨《荆楚名胜》专题片专家评审会,,1, ,"<正>2012年2月7日,共享工程湖北省分中心组织召开""2011年度地方特色数字资源库暨《荆楚名胜》专题片专家评审会"",由湖北知名专家、学者组成的专家评审组参加了评审会。评审组对湖北拟向国家管理中心申报的《湖北红色历史文化数据库》、《湖北体育数据库》、《湖北三国文化数据库》三个专题数字 ",TSLT201201010
湖北省图书馆学会2012年会长扩大会在咸宁召开,,1, ,"<正>2012年2月11日,湖北省图书馆学会会长扩大会在咸宁市召开。学会会长万群华,副会长李光玉、王学东、李静霞,常务理事佐斌、黄家发、陈方权,秘书长贺定安,副秘书长徐力文、林生出席会议。会议由会长万群华主持,由秘书长贺定安宣读 ",TSLT201201013
湖北省图书馆学会2012年学术年会征文通知,,1, ,"<正>各级各类图书馆:湖北省图书馆学会2012年学术年会将于下半年在咸宁召开。(具体时间、地点见后续通知)届时,我会将邀请广大会员和全省图书馆界同仁参会,共同探讨我省图书馆事业的可持续发展和理论创新,增进图书馆同行间的相互了解与交流。为此,特向广大会员和图书馆工作者征文。 ",TSLT201201017
第十一届中国社区乡镇图书馆发展战略研讨会征文通知,,1, ,"<正>全国各级各类图书馆:第十一届中国社区乡镇图书馆发展战略研讨会2012年年会将于8月在福建召开(具体时间、地点见后续通知)。届时,将邀请全国图书馆界的馆长、专家学者和政府有关部门领导与会,共同研讨中国社区乡镇图书馆事业发展进程中的重大理论与实 ",TSLT201201026
《图书情报论坛》特刊邀稿,,1, ,"<正>湖北省图书馆创建于1904年,是我国最早建立的省级公共图书馆之一。随着图书馆事业发展,百年老馆又发新枝,翘楚于全国省级图书馆、新中国成立以来湖北最大的文化基础设施工程——湖北省图书 ",TSLT201201027
抢抓机遇 迎接挑战 推动公共图书馆事业跨越式发展——“湖北省公共图书馆建设与发展”课题调研报告, ,8,湖北省; 公共图书馆; 跨越式发展; 调研报告;,"针对公共图书馆转型之困,在全面梳理湖北省百年以来公共图书馆事业发展所取得的成绩的基础上,深刻剖析湖北省公共图书馆事业发展中存在的主要问题,阐述湖北省公共图书馆事业在转型期面临的机遇,提出大力繁荣发展湖北省公共图书馆事业的对策和建议。 ",TSLT201201004
以团队建设理论实现图书馆有效组织管理,张瑱:25642467,3,图书馆; 团队建设; 组织管理; 人力资源管理;,"从图书馆团队建设冲突问题入手,探索应用团队建设相关理论实现图书馆有效组织管理的途径。 ",TSLT201201005
基于“社会主义文化建设体系”的公共图书馆体系构建思考——党的十七届六中全会《决定》解读之二,汤旭岩1:10730160|齐正军2:45687601,3, ,"<正>党的十七届六中全会审议通过的《中共中央关于深化文化体制改革推动社会主义文化大发展大繁荣若干重大问题的决定》(以下简称《决定》),是当前和今后一个时期指导我国文化改革发展的纲领性文件。党的中央全会专题讨论文化重大问题,这在我党建党90年来是第一次,以中央决定的方式部署文 ",TSLT201201006
青年馆员成长中的宏观指导及现实问题探析——基于湖北省图书馆实践的调查,甘霞蓉:27494012,4,图书馆; 馆员; 成长;,"对于青年馆员的成长问题,以调查的方式,以湖北省图书馆实践为例,分析青年馆员成长的优势、劣势和影响成长的因素,提出解决青年馆员成长中现实问题的途径。 ",TSLT201201007
微博在图书馆应用现状分析及建议,徐德军:17614746,4,微博; 图书馆; web2.0;,"以新浪微博为基础,运用网络调查和文献计量学方法,对微博现状、年代、类型、地区分布,以及内容等进行统计分析,提出微博在图书馆发展的建议和对策。 ",TSLT201201009
数字阅读下高校图书馆微书评应用研究,王家莲:26498881,3,微书评; 数字阅读; 高校图书馆;,"阐述微书评在数字阅读中的作用,提出高校图书馆利用微书评引领数字阅读的途径,以及做好微书评工作需要注意的问题,指出微书评将会成为高校图书馆数字阅读的新引擎。 ",TSLT201201011
广西图书馆“八桂讲坛”效果调查及分析,李宁君:23015791,5,公共图书馆; “八桂讲坛”; 调查;,"从广西图书馆""八桂讲坛""公益讲座实践入手,以问卷调查方式对""八桂讲坛""进行多视角的调查和分析,对""八桂讲坛""成功做法和不足之处进行探讨。 ",TSLT201201012
免费开放面临的困境及对策思考——以湖北省公共图书馆为例,,5,公共图书馆; 免费开放;,"以湖北省公共图书馆为例,就免费开放存在的问题,从建立保障机制、缓解供需矛盾、提升服务水平、实行科学管理、提高人员素质等方面进行思考,并提出相应对策。 ",TSLT201201014
由《公共图书馆宣言》看免费服务“基本原则”与“基本服务”的一致性,欧阳军:14270187|王俊:15594585,3,图书馆; 《公共图书馆宣言》; 免费服务;,"对于公共图书馆免费服务的问题,以《公共图书馆宣言》提出的""公共图书馆原则上应当提供免费服务""为话题,解读《公共图书馆宣言》与免费服务""基本原则""和""基本服务""的一致性。 ",TSLT201201015
公共图书馆免费开放后的思考,严勇刚:21645095,4,公共图书馆; 免费开放;,"公共图书馆免费开放后,随之而来的是图书馆面临着到馆读者量的大增、文献传递速度加快、服务理念和模式的跟进等现实问题,本文就这些问题进行了思考。 ",TSLT201201016
泛在信息社会中经典阅读价值思考,陆浩东:15551777,4,泛在信息环境; 经典阅读;,"透过信息用户阅读形态的变迁,阐述经典阅读内涵、特点及价值,对图书馆推广经典阅读的策略进行思考。 ",TSLT201201018
图书馆网络用户投诉、报怨分析及改善策略——以中山大学BB“S逸仙时空”论坛为例证,林书怡:27095869|梁益铭:27139204,3,大学图书馆; 逸仙时空; 用户投诉;,"分析用户在中山大学BB""S逸仙时空""上对中山大学图书馆的投诉、抱怨行为及影响因素,提出中山大学图书馆改进用户服务的建议。 ",TSLT201201019
文献传递统计给予文献资源建设的启示——以华东师范大学图书馆为例,张艺缤:07541903,4,华东师范大学图书馆; 文献传递; 文献资源建设;,"以华东师范大学图书馆文献传递形成的数据为例,分析文献传递数据给予文献资源建设的三点启示,指出华东师大文献资源建设应重点建设理科外文期刊资源,同时加强文献传递服务的协作。 ",TSLT201201020
日本国立国会图书馆应对3.11大地震的服务,崔健:27590989|霍晓伟:27590990,4,东日本大地震; 日本国立国会图书馆; 图书馆服务;,"介绍东日本大地震后日本国立国会图书馆受到的影响及应对服务,阐述东日大地震后日本国会国立图书馆的应对服务给予我国图书馆服务的启示。 ",TSLT201201021
网络环境对高校图书馆信息资源建设的影响及对策,吴恒梅:07659494,3,网络环境; 高校图书馆; 资源建设;,"分析网络环境下对高校图书馆信息资源建设的影响,以及高校图书馆信息资源建设面临的选择,并就网络环境对高校图书馆信息资源建设带来的影响提出相应对策。 ",TSLT201201023
《通志·艺文略》卷帙考,张建会:26642243,3,郑樵; 《通志·艺文略》; 卷帙数;,"统计郑樵《通志·艺文略》三级目录之下的部数和卷数。指出《艺文略》所记卷帙数与事实不符的地方,提出《艺文略》的部卷数应为""11278部,128148卷"",并非目前众家所说的""10912部,110972卷""。 ",TSLT201201024
图译《山海经·海荒经》前的准备,张华:15529790,4, ,"<正>1《山海经》的古与今《山海经》问世始于先秦,是先秦文献的代表作品,也是讲述神话传说最古老的地理书,被世人喻为""天下第一奇书""。《山海经》语言艰涩难懂,历代都有方家雅士对《山海经》进行校译,或图译,以晋代郭璞注《山海经注》、清代郝懿行撰《山海经笺疏》 ",TSLT201201025
湖北省公共图书馆队伍建设状况及对策研究,孙代峰:12674050|康安宇:12674048|吴鸿春:22271408|祝东红:12674054|李红:26746232,6, ,"<正>1队伍建设现状1.1基本情况为摸清湖北省公共图书馆队伍建设的基本情况,探索行之有效的队伍建设之路,实现人才强馆的发展战略,关注湖北省公共图书馆生存与发展,本课题组以问卷调查等形式,对全省公共图书馆队伍建设的现状、存在的问题及原因等进行了深入调研。此次调研,以全省县级以上公共图书馆为调研对象,全省县级以上公共图书馆共107所,按馆发出调查表107份,收回73份,其 ",TSLT2011Z2002
湖北省公共图书馆延伸服务调研报告,,6, ,"<正>""十一五""期间,湖北省公共图书馆在延伸服务上做了大量的探索,取得了显著成绩,为""十二五""期间湖北省公共图书馆延伸服务实现跨越式发展打下了坚实基础。然而,湖北省公共图书馆在开展延伸服务过程中遇到的一些问题和难题,制约着延伸服务的拓展和提高。破解""十一五""期间湖北省公共图书馆延伸服务中的问题和 ",TSLT2011Z2003
湖北省委常委、常务副省长李宪生视察湖北省图书馆新馆,,1, ,"<正>8月9日下午,湖北省委常委、常务副省长李宪生一行在湖北省文化厅厅长杜建国的陪同下,来到湖北省图书馆新馆建设工地视察、指导工作。参加视察的省市领导还有省发改委主任许克振、武汉市政府副秘书长卢炎群、省财政厅副厅长洪流等,省图书馆馆长汤旭岩、党委书记贺定安等参加接待。李宪生副省长 ",TSLT2011Z2029
湖北省图书情报界与东风汽车有限公司签订服务协议,,1, ,"<正>5月25日,湖北图情界与东风汽车有限公司图书馆共建共享协议签字仪式在东风有限商用车技术中心举行。省图书馆学会会长万群华、东风有限商用车技术中心党委书记周伟勇、图情系统相关单位负责人、专家,以及省图书馆学会、省图书馆、国家科学图书馆武汉分馆、武汉大学、 ",TSLT2011Z2005
"拓展服务阵地,共建廉政文化——湖北省共享工程洪山监狱基层中心揭牌",,1, ,"<正>7月18日,""湖北省文化信息资源共享工程基层中心揭牌暨文艺器材捐赠仪式""在湖北省警示教育基地洪山监狱举行。洪山监狱党委书记、监狱长邓开亮和省文化厅厅长杜建国为基层中心揭牌,巡视员沈虹光代表省文化厅向洪山监狱捐赠小提琴等文艺器材。省文化厅副厅长王建刚、 ",TSLT2011Z2007
湖北图书省馆参与献礼建党90周年“红色经典”推评活动,,1, ,"<正>献礼建党九十周年湖北四大""红色经典""推评活动,由《楚天金报》发起并承办,湖北日报传媒集团、省文化厅、省广播电影电视局、省旅游局、省文联等单位主办,湖北省图书馆、崇文书城、省电影总公司、省音协协办,历时3月(3月至6月底)。应《楚天金报》的要求,省图书馆组织专家参与评选活动。 ",TSLT2011Z2010
著名作家余炳贤先生向湖北省馆捐赠图书,,1, ,"<正>8月22日,湖北著名作家余炳贤先生向湖北省馆捐赠个人著作14种53册,捐赠图书中有《考古武汉城市圈》、《萍踪追忆》、《清初名相余国柱传》、《大冶抗日战争史稿》、《黄石市建置沿革志》、《余氏春秋》、《黄石习俗风尚》、《黄石矿冶文化探源》、《奇风异俗话大冶》、《大冶人由来考》、《茗山英才》、《大冶古今文化概览》、 ",TSLT2011Z2020
学术评价下外文文献采访研究,陶蕾:21375346,6,外文文献; 采访; 核心作者; 核心研究机构;,"基于学术评价下的外文文献采访,以上海大学材料科学专业为研究对象,利用JCR、web of science工具,挖掘该学术领域的核心作者、核心研究机构等评价指标,提出学术评价下的外文文献采访的思路和意见。 ",TSLT2011Z2004
武汉图书馆首次岗位设置管理及实践思考,杨天平:25355866,4,武汉图书馆; 岗位设置; 人力资源管理;,"针对武汉图书馆首次岗位设置管理的实践,探讨岗位设置管理的意义及依据,对岗位设置管理后的若干管理进行思考。 ",TSLT2011Z2006
国家图书馆馆藏中文报纸记到特殊状态的处理,李娜华:26477305|王广平:24263203,3,国家图书馆; 中文报纸; 报纸记到;,"阐述国家图书馆中文报纸的发展、特点,记到对于报纸管理、利用的作用和意义,以及国家图书馆报纸类型、记到内容和流程,对于国家图书馆馆藏中文报纸记到遇到的特殊状态提出了处理办法。 ",TSLT2011Z2008
基于县级图书馆实施绩效考核的认识,梁惠:45361438,3,县级图书馆; 绩效考核; 人力资源管理;,"阐述绩考核的种类和县级图书馆实施绩效考核的意义,以及管理中引入绩效考核的目的、原则、重要性和影响绩效的因素,提出基于县级图书馆绩效考核的认识。 ",TSLT2011Z2009
襄阳市图书馆信息素养教育体系的构建及策略,邓辉:43766407,4,图书馆; 信息素养; 信息素养教育;,"阐述信息素养概念、内涵,以及国内外信息素养教育的发展,分析襄阳市图书馆开展信息素养教育的优势,探讨襄阳市图书馆对读者信息素养教育的影响,结合实际提出图书馆对读者实施信息素养教育的观念、资源、教育模式、氛围及活动的体系结构。 ",TSLT2011Z2011
青年图书馆员成长问题透视,金美丽:13418027,3,图书馆; 馆员; 成长;,"针对青年馆员的成才问题,探讨青年馆员成长存在的优势和劣势,分析影响青年馆员成长的重要因素,认为青年馆员是一支极具可塑性的群体,研究青年馆员的成才问题,是关系到图书馆事业未来发展的问题。 ",TSLT2011Z2012
免费开放下的拒借率原因及降低途径,刘艺:12682651,3,图书馆; 拒借率; 借阅服务;,"拒借率是读者满意度、文献保障和读者服务的综合反映。阐述免费开放下研究拒借率的意义及作用,分析产生拒借率的原因,提出降低拒借率的有效措施。 ",TSLT2011Z2013
高校图书馆义务馆员的阅读推广及基本条件,张麟:25439072,3,高校图书馆; 义务馆员; 阅读;,"在社会阅读风气滑坡下,分析阅读推广形成的原因、面临的问题,以及义务馆员参与阅读推广的优势,提出义务馆员参与阅读推广高校图书馆应具备的基本条件。 ",TSLT2011Z2014
图书馆OPAC查询记录统计分析的功能缺失及改进,吴丽坤:06986376,5,OPAC系统; 信息查询; 查询统计; 查询分析;,"从多角度阐述图书馆OPAC查询记录统计功能的意义,借鉴网络书店的顾客管理与需求分析模式,提出在无需对OPAC查询记录进行数据挖掘前提下,实现OPAC查询记录统计分析。 ",TSLT2011Z2015
现代信息技术下的读者需求与文献资源建设策略探讨,毕东:14276262,3,现代信息技术; 图书馆; 文献资源建设;,"以现代信息技术下的读者需求与文献资源建设为切入点,分析读者信息需求特点,探讨高校图书馆文献资源建设应采取的策略,指出面对读者的多元化需求,高校图书馆应本着""保障教学科研,保证重点,保持特色""的原则,促使传统资源建设与数字资源建设的协调发展。 ",TSLT2011Z2016
浅析搜索引擎的超链接分析排序算法,梁永演:25953067,3,搜索引擎; 超链接; PageRank算法; HITS算法;,"以PageRank算法和HITS算法为例,分析超链接分析技术的搜索引擎排序算法,总结超链接分析技术应用于搜索引擎结果排序的局限性。 ",TSLT2011Z2017
网络资源描述方法和功能差异分析,徐红:22653965,4,网络资源; 资源描述; MARC; MODS; DC元数据;,"阐述在网络环境下,信息资源的三种主要描述方法及特点,分析三种主要描述方法的功能差异,指出在应用中应依据需要选择描述方法,以及结合中国国情,建立标准的、结构化的、被共同认可的元数据标准体系。 ",TSLT2011Z2018
共享工程支中心为城市社区服务模式探析——以宜昌市为例,张瑱:25642467,3,共享工程; 公共图书馆; 城市社区; 管理模式;,"介绍宜昌市公共图书馆、共享工程支中心建设现状及服务,分析共享工程为城市社区服务存在的问题,提出共享工程支中心为城市社区服务模式的主要举措。 ",TSLT2011Z2019
实现农家书屋和共享工程在贫困山区的共建共享思考——以英山县实践为例,,4,贫困山区; 农家书屋; 共享工程;,"农家书屋和共享工程是惠及农村千家万户的""文化惠民""工程,基于两项工程的共建共享,以英山县实践为例,阐述两项工程异同,分析英山县农村文化建设现状,提出实现两项工程共建共享的思路。 ",TSLT2011Z2021
武汉社区图书室未来发展建设及思考,肖京:12678365,3,社区; 社区图书室; 信息服务;,"概述武汉社区图书室建设现状,分析武汉社区图书室建设中存在的问题,阐述对武汉社区图书室未来发展建设的思考。 ",TSLT2011Z2022
家谱:宗族公益的观察点,杨爱华:23946114,6,家谱; 宗族; 宗族公益;,"以湖北省图书馆馆藏家谱作为宗族公益的观察点,论述宗族公益的意义和作用,探讨家谱中的公益制度建设、宗族公益公产来源及宗族公益的主要内容,提出宗族公益事业的有序进行,有利于宗族壮大、稳定和维护国家民间秩序的观点。 ",TSLT2011Z2023
古代佣书业发展及文化贡献概述,刘孝文:26742269|和艳会:07103069,3,佣书; 佣书业; 古代书籍流传; 古代书籍复制;,"论述历代佣书业状态,以及对古代书籍流传的作用,提出古代佣书是我国古代兼具图书流通、传播和复制功能的独特文化活动。 ",TSLT2011Z2024
与书亲近的孩子(上),汤旭岩:10730160,3, ,"<正>喜欢书""六一""国际儿童节那天,儿子终于捧回了""中山读书星·扩展星""的奖状。上小学三年来,最让儿子倾心参与且志在必得的就是这次""读书星""评选活动。据说读书星分欣赏星、故事星、自创星什么的,全班只几份申报表,儿子主动提出来竞选""扩展星""。填完表一看,倒还真不简单。关于""读书本数"",填了约200多本;关于""读书类别"",包括了文学传记、综合性工具书、美术绘画、科普读物、 ",TSLT2011Z2025
创办武昌文华公书林的作用及意义,张云芳:23343287,3,公共图书馆; 文华书院; 文华公书林; 韦棣华;,"就武昌文华公书林的创办,阐述创办的时代背景、起源、过程,以及公书林的基本特征、对现代公共图书馆建设的作用和影响,认为它标志着中国近代新式图书馆的开始。 ",TSLT2011Z2026
和孩子一起成长——感受《孩子是枝笔》中的亲情,杨萍:26220047,2, ,"<正>这本书是父子共同书写的心灵篇章,是一位父亲因孩子、为孩子而抒发的爱的心声。各式各样的笔中,唯有孩子这枝笔永远纯真、浑然天成。作者说这是一本写给父亲和将要成为父亲的人读的书,我作为五岁男孩的母亲,同样被书中的亲情和爱深深地感动着。父亲细腻的真情感动着我,父亲在儿子成长中倾注的爱和关怀感动着我,为人子对父母的恩情感动着我,作者对家庭 ",TSLT2011Z2027
一本男人的读物——《孩子是枝笔》,郑强:26742270,1, ,"<正>家庭教育一直以来都是被关注的热点话题。父亲在家庭教育中扮演的角色和起到的作用,以及父亲在家庭教育中的参与度,都直接影响着孩子的成长及发展,这一认知已被社会、为人父为人母们的广泛认同。如何做爸爸,做一个合格的爸爸,与孩子做朋友、情感互动、一起成长,实 ",TSLT2011Z2028
湖北省文化厅党组书记、厅长杜建国在全省公共图书馆工作会上的讲话,杜建国:10554412,5, ,"<正>一、充分认识图书馆事业在推动我省跨越式发展中的重要地位和作用,增强图书馆工作责任感和使命感图书馆事业是社会主义文化建设的重要组成部分,是党和政府向人民群众提供公共文化服务、保障人民群众基本文化权益的重要途径。李长春同志在国家图书馆百年庆典大会上指出:""图书馆 ",TSLT2011Z1002
奋力推进全省公共图书馆事业跨越式发展,李耀华:25658852,6, ,"<正>一、传承文明,服务社会,""十一五""期间全省公共图书馆事业成绩显著""十一五""时期,全省各级公共图书馆在厅党组的坚强领导下,坚持以科学发展观为指导,秉承""传承文明、服务社会""的宗旨,抓住发展机遇,坚持改革创新,着力改善办馆条件,努力提 ",TSLT2011Z1004
“湖北省公共图书馆建设与发展”课题组审稿会在荆州召开,,1, ,"<正>2月18日至20日,""湖北省公共图书馆建设与发展""课题组在荆州市召开鄂中南片区审稿会,这是继武汉片区审稿会后课题组的再次集中审稿。审稿会上,课题组领导、专家先后听取了荆门市 ",TSLT2011Z1003
湖北省图书馆举办“我和图书馆”知识竞赛,,1, ,"<正>2月11日(农历正月初九),湖北省图书馆中文报刊部举办""我和图书馆""知识竞赛活动,以举办读书活动方式和读者共度新春佳节。本次大赛的目的:培养和提升读者的图书馆意识,打 ",TSLT2011Z1007
湖北省非遗保护、共享工程及古籍保护联席会议在武昌召开,,1, ,"<正>由湖北省文化厅牵头的""湖北省非物质文化遗产保护、文化信息资源共享工程和古籍保护工作部门联席会议""于2月22日在武汉市武昌召开。本次联席会的主要议题为:报告全省2010年非遗保护、共享工程和古籍保护工作情况及2011 ",TSLT2011Z1017
湖北省公共图书馆工作会议在武昌召开,,3, ,"<正>3月10日-12日,湖北省公共图书馆工作会议在武昌隆重召开。湖北省文化厅党组书记、厅长杜建国,湖北省文化厅副厅长王建刚、李耀华、纪检组长段天玲,以及湖北省政府办公厅、省委宣传部、省发改委、省财政厅等部门领导出席会议 ",TSLT2011Z1001
《湖北省公共图书馆条例》立法后评估报告, ,7, ,"<正>《湖北省公共图书馆条例》(以下简称《条例》)于2001年7月27日经湖北省第九届人民代表大会常务委员会第二十六次会议通过,2001年10月1日起正式施行。十年来,《条例》对促进全省公共图书馆事业发展发挥了重要作用。为了进一步贯彻落实党的十七大促进文化大发展大繁 ",TSLT2011Z1005
湖北省公共图书馆阅读现状调研报告,李静霞:12678354|张颖:12678376|王红:12678363|姚明玉:25807868|祝丽娅:17547059|张振有:26220046,6, ,"<正>1课题调研的目的与方法阅读是人们生活中一项重要的活动,是人类汲取知识的主要手段和认识世界的重要途径。长期以来,公共图书馆以其丰富的文献资源、浓郁的文化氛围,成为社会公众首选的阅读场所,在社会阅读活动中发挥着首要的作用。随着信息化 ",TSLT2011Z1006
全纳教育下的公共图书馆人文建设探讨,张云芳:23343287,5,公共图书馆; 全纳教育; 人文建设;,"基于公共图书馆融入全纳教育理念问题,探讨全纳教育理念、公共图书馆人文建设的基本内容及其协同性和共生性,提出全纳教育理念下公共图书馆面临形势和职责的思考。 ",TSLT2011Z1008
电子资源书目记录编制及特点探讨,刘峥:22815154,5,电子资源; 著录规则; 书目记录; CNMARC格式;,"以2010年GB/T 3792.9-2009《文献著录第9部分:电子资源》作为电子资源书目记录依据,结合电子资源的特点、类型,论述电子资源著录原则在实践中的运用,以及书目记录编制中CNMARC专用字段的使用方法。 ",TSLT2011Z1009
层次分析法在职校图书馆服务绩效评估中的应用,杜惠萍:26221918,4,职校图书馆; AHP; 绩效评价;,"运用层次分析法对职校图书馆服务质量进行定量评估和模糊估计,分析影响图书馆服务绩效评估质量的因素,探讨层次分析法在职校图书馆服务绩效评估中的应用及给予的启示。 ",TSLT2011Z1010
大学生信息素养及评估标准研究,仇诚诚:26221930,4,大学生; 信息素养; 评价标准;,"结合国内外大学生信息素养研究状况,探讨大学生信息素养的内涵及标准,鉴于我国国情及大学生信息素养现状,提出构建大学生信息素养评估体系,应从信息意识、信息能力和信息道德三方面设立6大评估标准25项子目标进行构建。 ",TSLT2011Z1011
“零月薪”下高校图书馆大学生就业心理指导探讨,郑红京:11014842,4,高校图书馆; 就业; 心理指导;,"结合""零月薪""下就业状况,分析高校图书馆大学生就业心理指导的必要性和可行性,提出高校图书馆大学生就业心理指导的途径,对现实中的问题进行思考。 ",TSLT2011Z1012
公共图书馆采编业务外包问题探讨,吴文慧:13269696,3,采编; 业务外包; 公共图书馆;,"结合近几年来公共图书馆采编业务外包的实践,对采编业务外包中存在的问题、成因、外包模式及利与弊针进行分析和探讨,并对外包的组织策划进行论述,提出采编业务外包的的方法和措施。 ",TSLT2011Z1013
从首届南图阅读节想开去,秦志华:23309378,4,图书馆; 阅读节; 读者活动;,"通过对南图首届阅读节活动的介绍,概述南图阅读节活动给予阅读的启示,阐述阅读节所体现出的现代图书馆服务精神。 ",TSLT2011Z1014
公共信息服务基础设施参与武汉城市圈建设的理性思考,全涛:15275643,3,公共信息服务设施; 信息服务; 武汉城市圈;,"从公共信息服务基础设施参与武汉城市圈建设的相关内容出发,对其可行性,以及需要解决的问题进行分析,在此基础上,提出相应的对策。 ",TSLT2011Z1015
东盟文献资源建设与开发研究,胡海燕:23005806,3,公共图书馆; 东盟博览会; 资源建设;,"随着中国——东盟博览会的落户广西,不仅推动了广西经贸的发展,同时也促进了图书馆对东盟文献资源建设与开发。针对广西图书馆东盟文献资源建设与开发中存在的主要影响因素,提出提升东盟文献资源建设与开发成效的策略。 ",TSLT2011Z1016
中小企业开展竞争情报的瓶颈及对策,李威:10135050,3,中小企业; 竞争情报; 核心竞争力;,"在梳理竞争情报相关理论、中小企业特点及开展竞争情报必要性的基础上,探析中小企业开展竞争情报活动的瓶颈,提出中小企业开展竞争情报活动应从明确目标、提升认识、健全机构、培养人员及与社会咨询机构合作等方面发力。 ",TSLT2011Z1018
Folksonomy在学科信息导航服务中的应用探讨,傅秀兰:10235990,5,分众分类法(Folksonomy); 标签(Tag); 学科导航; 信息服务;,"论述Folksonomy、Tag建模、特点,以及当前学科导航信息服务中存在的问题,探讨Folksonomy在学科信息导航服务中的应用,包括优化信息导航、分类设计、用户信息互动与合作机制等,为信息检索提供新途径。 ",TSLT2011Z1019
档案数字化建设若干问题初探,伞辉:26222612,4,团体组织; 档案; 数字化; 服务;,"针对影响档案数字化建设存在的问题,探讨档案数字化建设应具备的条件,提出档案数字化应建立的几种机制,并特别强调抓住机遇促使投入机制的形成。 ",TSLT2011Z1020
网络信息资源编目探讨,王显:17669601,3,网络环境; 网络信息; 网络信息编目;,"我国网络信息资源编目开展多年,而信息资源编目数据共享却呈现加剧化,由之分析网络信息资源的特点,探讨网络信息资源选择整理和编目,提出网络环境下信息资源编目的几点思考。 ",TSLT2011Z1021
英山毕昇文化研究二十年概述,,4,英山; 毕昇; 印刷技术; 论证;,"湖北英山发现毕昇墓碑已20余年,对之发现及其研究、论证、保护、开发和利用等进行阐述,并毕昇文化所彰显的特色进行探讨。 ",TSLT2011Z1022
珍稀的学术研究资源——研究馆员的对话,汤旭岩:10730160|石洪运:10746909,3, ,"<正>汤:听说你即将退休,不知在学术研究上有何打算?石:有所思考,但还没有想好。汤:你是一个有着科研能力的老同志,应该发挥自己的专长,把自己几十年的心得、经验,通过一定的形式记录下来,留传下去。假如一退 ",TSLT2011Z1023
《培养读者快乐阅读心理》序,阳海清:10680972,2, ,"<正>阅读,从来就是人类社会的一项基本活动,其在传承文明、传播知识、传递信息和愉悦身心上为功尤巨。它既是社会活动,亦是个人行为。准确地说,是通过个人行为而凝聚为社会活动,有如滴水成溪,江河汇海。因此,欲推动社会阅 ",TSLT2011Z1024
放飞心情——品味《行走的风景:15国文化印象》,杨萍:26220047,3, ,"<正>捧起这部讲述国外风情的游记,仿佛打开引领我通向大千世界的窗牖。不必为如何到达那千里之外的异国风情发愁,带着脚印从未企及的渴望,静静享受面前优美的文笔,随着作者的脚步,想象的翅膀在不知不觉中得以伸展。 ",TSLT2011Z1025
漂洋过海的浪漫——《行走的风景:15国文化印象》动感断想,付璐:26220048,3, ,"<正>子力先生《行走的风景:15国文化印象》一书,由7篇章、67篇随笔组成,书里还有与文与景相一致的300多幅图片,文笔和图片构成书的整体美。不难看出,它是一部游记,""从艾菲尔铁塔到圣家族教堂,从地跨欧亚两洲的伊斯坦布尔 ",TSLT2011Z1026
关于“社会主义文化建设体系”的提出与思考——党的十七届六中全会《决定》解读之一,汤旭岩:10730160|张文清:29053339,4, ,"<正>2011年10月18日,中国共产党第十七届中央委员会第六次全体会议通过了《中共中央关于深化文化体制改革推动社会主义文化大发展大繁荣若干重大问题的决定》。党的这一《决定》是我们党面对新形势所提出的深化文化体制改革、推动社会主义文化大发展大繁荣若干重大问题的决定,是建设社会主义文化强国的纲领性文件。《决定》是在我国经济快速发展、物质文明大繁荣的背景下提出的,所以当前文化体制改革的重点主要集中在精神层面的文化建设。我们认为,在《决定》中,从理论层面可以提炼、归纳出社会主义文化建设事业""四大体系"",进而提出""社会主义文化建设体系""概念,便于对《决定》的解读。 ",TSLT201106003
重心下移 构建惠及全民的图书馆服务体系——赴台湾考察的几点思考,万群华:10655271,5,台湾图书馆; 基本概况; 办馆特色;,"通过赴台湾图书馆考察的所见所闻,简要介绍台湾公共图书馆的基本概况、办馆特色、读者服务等方面的情况和经验,并就我国公共图书馆资源布局、大众化服务和个性化服务等方面的建设进行了思考。 ",TSLT201106004
湖北省图书馆公益讲座掠影,,3, ,"<正>湖北省图书馆举办公益讲座始于上世纪50年代中期,讲座围绕时事政治和中心工作任务而展开,产生了广泛的影响力。随着时间的推移,公益讲座已成为湖北省图书馆众多读者活动中的一个重要品牌,声势日益浩大,听众日益增多,影响日益深远,现已形成""名家讲坛""、""精英论坛""、""荆楚讲坛""三大系列公益讲座。 ",TSLT201106001
